Province / Territory,Data Provider,Link to Dataset,Link to Data Licence,Licence Title,Licence Version,Attribution statement (in language of origin),Date Downloaded
NS,PVSC & Participating Municipalities,https://www.thedatazone.ca/Assessment/Parcel-Land-Sizes/wg22-3ric,https://www.pvsc.ca/site/media/PVSC/Documents/Open%20Data%20and%20Information%20Government%20Licence%20-%20PVSC%20and%20Participating%20Municipalities.pdf,Open Data & Information Government Licence – PVSC & Participating Municipalities,1,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities,2021-01-15
NS,Halifax,http://www.halifax.ca/opendata/,https://www.halifax.ca/home/open-data/open-data-license,Open Government Licence - Halifax,1,Contains information licenced - HALIFAX,2021-01-15
NS,Province of Nova Scotia,https://data.novascotia.ca/Municipalities/Nova-Scotia-Civic-Address-File-Civic-Points/tntn-er5g,https://novascotia.ca/opendata/licence.asp,Open Government Licence – Nova Scotia,1,Contains information licensed under the Open Government Licence – Nova Scotia,2021-01-15
NT,City of Yellowknife,http://opendata.yellowknife.ca/home/details/92407f76-6c52-449a-a4c3-01fbdc3b30ff,https://www.yellowknife.ca/en/discovering-yellowknife/resources/geomatic_services/City_of_Yellowknife_Open_Data_LIcence__Terms_of_Use.pdf,City of Yellowknife Open Data License & Terms of Use,1,Contains public sector Datasets made available under the City of Yellowknife's Open Data License v.1,2021-01-15
ON,Town of Ajax,https://opendata.ajax.ca/datasets/civic-addresses-ajax-only/geoservice,https://opendata.ajax.ca/datasets/8dcfee4f8c904ef29248b2c82ef33175/geoservice,Town of Ajax Open Data License v 1.0,1,Contains public sector Information made available under The Corporation of the Town of Ajax's Open Data Licence,2021-01-15
ON,Barrie,https://opendata.barrie.ca/datasets/address-points,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf,open government license Barrie,1,Contains information licensed under the Open Government Licence – Barrie.,2021-01-15
ON,City of Brampton,https://geohub.brampton.ca/datasets/address-points,https://creativecommons.org/licenses/by/4.0/,Creative Commons,BY 4.0,"Attribution — You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.",2021-01-15
ON,Brantford,https://data-brantford.opendata.arcgis.com/datasets/8fa270cb0c174bd99b52a11260f60f15_0?geometry=-80.790%2C43.063%2C-79.747%2C43.238,http://data-brantford.opendata.arcgis.com/pages/licence,Open Government Licence – Brantford,1,Contains information licensed under the Open Government Licence – Brantford,2021-01-15
ON,Grey County,https://data-brucecounty.opendata.arcgis.com/datasets/bruce-county-address-points,https://maps.grey.ca/pages/terms,Open Data Licence – Grey County,,Contains information licensed under the Grey County Open Data Licence.,2021-01-15
ON,Burlington,https://navburl-burlington.opendata.arcgis.com/datasets/address-points,https://www.burlington.ca/en/services-for-you/resources/Ongoing_Projects/Open_Data/OpenDataBurlingtonTermsOfUseSeptember192011.pdf,"Terms of Use for Open Data Burlington, September 19, 2011",,Contains information sourced from the open data portal of the City of Burlington.,2021-01-15
ON,City of Cambridge,https://geohub.cambridge.ca/datasets/addresses,https://maps.cambridge.ca/images/opendata/Open%20data%20licence.pdf,Open Government Licence – City of Cambridge,2,Contains information licensed under the Open Government Licence – City of Cambridge.,2021-01-15
ON,Cornwall,https://data-cornwallcity.opendata.arcgis.com/datasets/address-points,,,,,2021-01-15
ON,The County of Dufferin,https://data-dufferincounty.opendata.arcgis.com/datasets/address-points-dufferincounty-open-data,https://www.arcgis.com/sharing/rest/content/items/fbbfe060de804d44a4e39cd51a451e35/data,Open Government Licence – The County of Dufferin,2,Contains information licensed under the Open Government Licence – County of Dufferin,2021-03-04
ON,City of Greater Sudbury,http://opendata.greatersudbury.ca/datasets/address-points-layer,https://www.greatersudbury.ca/city-hall/open-government/open-data/licence/,City of Greater Sudbury Open Data Licence,1,Contains information licensed under the Open Data Licence – City of Greater Sudbury,2021-01-15
ON,City of Guelph,http://geodatahub-cityofguelph.opendata.arcgis.com/datasets/addresses-1,http://data.open.guelph.ca/pages/open-government-licence,City of Guelph Open Government Licence,1,Contains information provided by the City of Guelph under an open government license,2021-01-15
ON,Haldimand County,http://opendata.haldimandcounty.on.ca/datasets/civic-addresses,http://opendata.haldimandcounty.on.ca/,Open Government Licence - Haldimand County,1,Contains information licensed under the Open Government Licence – Haldimand County,2021-01-15
ON,City of Hamilton,http://www.hamilton.ca/ProjectsInitiatives/OpenData/,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Open Data Licence Terms and Conditions,1.1,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,2021-01-15
ON,Corporation of the County of Hastings,https://openhub-esrica-apps.opendata.arcgis.com/datasets/abdb63ebc091445abb165387398f376c_0,http://openhub-esrica-apps.opendata.arcgis.com/datasets/Hastings-GIS::hastings-county-911-addresses,Open Government License – Corporation of the County of Hastings,1,Contains information licensed under the Open Government License – The Corporation of the County of Hastings,2021-01-15
ON,The County of Huron,https://data-huron.opendata.arcgis.com/datasets/55ae362c840344cdb3422d496db10d64_0,https://data-huron.opendata.arcgis.com/datasets/55ae362c840344cdb3422d496db10d64_0?geometry=-85.536%2C42.948%2C-77.192%2C44.340,Open Government Licence - The County of Huron,,Contains information licensed under the Open Government Licence – The County of Huron.,2021-01-15
ON,City of Kingston,https://www.cityofkingston.ca/explore/data-catalogue,https://www.cityofkingston.ca/documents/10180/144997/CityofKingston_OpenDataLicense.pdf,City of Kingston Open Data Licence 1.0,1,Contains information licensed under the Open Data Licence – City of Kingston.,2021-01-19
ON,The Corporation of the City of Kitchener,https://open-kitchenergis.opendata.arcgis.com/datasets/98e0a9aa3f8e447380f27fdc1c170d02_0,https://open-kitchenergis.opendata.arcgis.com/datasets/98e0a9aa3f8e447380f27fdc1c170d02_0,Open Government Licence - The Corporation of the City of Kitchener,1,Contains information licensed under the Open Government Licence - The Corporation of the City of Kitchener.,2021-01-15
ON,County of Lambton,https://county-lambton.opendata.arcgis.com/datasets/address-points,https://county-lambton.opendata.arcgis.com/pages/open-data-license,Open Government License 2.0 - County of Lambton,2,Contains information licensed under the Open Government Licence - County of Lambton,2021-01-15
ON,City of London,https://opendata.london.ca/datasets/24b16712d14c42d7ac1e679c8c89bf47_0,https://ago-item-storage.s3.us-east-1.amazonaws.com/e31458fd0c7e41dd9f93144a9550781d/Terms_of_Use.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEOH%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQDtC4fgcyski%2BCCf26S9TXk02EN7ziIpw6VIz3IccTBAQIgaFlHP%2FjBEL639vo4KfaOEVrFhRdnGF85YjshqcBJdHsqvQMIqv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw2MDQ3NTgxMDI2NjUiDBfyKhzH%2FJJRx8SQQyqRA0CRD9MHSPWB%2F931XyWvI7r%2FJU%2Fh0ouQcTogah8URfFYCjyHj9%2F9VvR0cL%2BIhRCV0covY%2BE8%2F3%2Fef64iSKldqyDL1eAk4lHXGGz%2F0HoqUxLuadz0EcnNTG2Ce0vYcfHk5QSbEMkvzobsmeRsX0sQAz3fVg%2F%2F1HSaZrpr6ljDMpovMO9D6Rqt103yZ%2F5OhWT0ScER5c1D9P759jtk2vmbdyH3iaPwncLaCnXDURrg1JvhGkklxYSUX1w9eohX3N%2BiY3ccin%2BoSwNWaUD5dIYXZ3zRuoAJzUiBdYHCIrrYzhDDXcJJJB3bMwqCnBuO0I5lhOGebK4XTqJKz8YgPqexq9KvEzd2%2Byr5ijH8ll37gdg6ZJiifWTrJreuL2DA9hLWZneIlpp1rE9gmO67uIeTT%2Fs%2F8d%2BXi%2FoP%2Bu4OfFLbYDQkpsub1MaE%2FImLy6mFFYI33Wo3XTtFSYwZmPS%2B05%2BUFCT0aVp2202jgx%2FAG2fqb2zu4TO5w4z5vqoBv98eW0MhptpvqiFZHN%2FMEuCPEhcmDjMsMIKA8v8FOusBUnAeFLp44Ko8y%2B38sFAEaeob4HlUZQAmjzKXP6f4FGtQCyO6NTM6xycBgJ1juVgrShRJ1HeDBX1s8A7c58HL1jOw5gf9i4ENtJ%2FV%2FIjj%2BpKSZ8e2a4pj0v6jk%2Bec7cwxrCcqT7b8t7P6ZnldKgOnwZHC9vP4T7Lby0L1MichrAWoq0Fnp4HnusCwNgf5vlId37D%2BrG2j05gtdja2CDuP5D09gZTyriyw%2B1eu5jUFGvoxiBH8vIC%2B8Dcgp8V3Jw8dsUcXOsxaBMaaaMrRBfQqg628hfT9g7dJn%2B94binkeWDST8hznvdZ2csLJg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210111T174951Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKEXMOYAQA3%2F20210111%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=8705b6cbf6006b1314b0a13b65ceae3b069f1a884d8645ca667bfd00c6708a57,Terms of Use – City of London Open Data,,Contains information sourced from the open data portal of the City of London.,2021-01-15
ON,York Region,http://data-markham.opendata.arcgis.com/datasets/york::address-point,http://data-markham.opendata.arcgis.com/datasets/york::york-region-open-data-licence,York Region Open Data Licence,1,Contains public sector information made available under The Regional Municipality of York's Open Data Licence,2021-01-15
ON,Middlesex County,https://data-middlesex.opendata.arcgis.com/datasets/712860a2727f4ee6be761c8d0405ae06_0,https://data-middlesex.opendata.arcgis.com/datasets/712860a2727f4ee6be761c8d0405ae06_0?geometry=-82.576%2C42.600%2C-80.168%2C43.303&orderBy=MUNCODE,Middlesex County - Custom License,,,2021-01-15
ON,District Municipality of Muskoka,https://map.muskoka.on.ca/datasets/7dbdeb9bc94b45d4a3296f73fba38a3c_0,https://map.muskoka.on.ca/pages/terms-of-use,District Municipality of Muskoka – Open Data Licence v.1.0,1,Contains information provided by the District Municipality of Muskoka under licence,2021-01-15
ON,Town of Newmarket,http://open.newmarket.ca/opendata/navigo/show?id=25c43575c8d4b647&disp=D156E60C6F85&shard=open.newmarket.ca%2Fopendata%2Fsolr%2Fv0,https://www.newmarket.ca/TownGovernment/Documents/Newmarket_OpenData_Licence.pdf,Town of Newmarket open Data Licence,1,Contains information licensed under the Open Data Licence – Town of Newmarket.,2021-01-15
ON,Niagara Region,https://niagaraopendata.ca/dataset/address-points,https://niagaraopendata.ca/pages/open-government-license-2-0-niagara-region,Open Government Licence - Niagara Region,2,Contains information licensed under the Open Government Licence - Niagara Region,2021-01-15
ON,Norfolk County,http://opendata.norfolkcounty.ca/datasets/civic-addresses,http://data-norfolk.opendata.arcgis.com/pages/terms-of-use,Norfolk County's Open Data Licence,,Contains public sector Information made available under Norfolk County's Open Data Licence,2021-01-15
ON,Town of Oakville,https://portal-exploreoakville.opendata.arcgis.com/datasets/address-points-1,https://www.oakville.ca/data/open_data_licence.html,Town of Oakville Open Data Licence,2,Contains information licensed under the Open Government Licence - TOWN OF OAKVILLE,2021-01-15
ON,Orangeville,https://data-orangeville.opendata.arcgis.com/datasets/site-address?geometry=-80.360%2C43.787%2C-79.765%2C43.960,https://data.orangeville.ca/opendata.html,Open Government Licence – Orangeville,1,Contains information licensed under the Open Government Licence – Orangeville,2021-01-15
ON,The Corporation of the City of Oshawa,http://city-oshawa.opendata.arcgis.com/datasets/DurhamRegion::civic-addresses,https://map.oshawa.ca/OpenData/Open%20Government%20Licence%20version%202.0%20-%20Oshawa.pdf,Open Government Licence – The Corporation of the City of Oshawa,2,Contains information licensed under the Open Government Licence – The Corporation of the City of Oshawa,2021-01-15
ON,City of Ottawa,https://open.ottawa.ca/datasets/municipal-address-points?geometry=-77.500%2C44.911%2C-74.092%2C45.587,https://ottawa.ca/en/city-hall/get-know-your-city/open-data#open-data-licence-version-2-0,Open Government Licence – City of Ottawa,2,Contains information licensed under the Open Government Licence – City of Ottawa,2021-01-19
ON,Regional Municipality of Peel,https://data.peelregion.ca/datasets/address-points/data,https://data.peelregion.ca/pages/license,Open Data Licence for The Regional Municipality of Peel,1,Contains public sector Information made available under The Regional Municipality of Peel's Open Data Licence - Version 1.0,2021-01-15
ON,City of Peterborough,http://data-ptbo.opendata.arcgis.com/datasets/address,http://data-ptbo.opendata.arcgis.com/pages/terms-of-use,City of Peterborough Open Data Terms of Use,2,"Copyright 2017, The City of Peterborough (All rights reserved.)",2021-03-04
ON,City of Pickering,https://opendata.pickering.ca/datasets/943eb76bbd604c29bd73567c8ab7bd80_0,https://www.pickering.ca/en/city-hall/resources/OpenDataLicencePickeringV1.pdf,City of Pickering Open Data License,1,Contains public sector Information made available under The City of Pickering's Open Data Licence,2021-01-15
ON,Region of Waterloo,https://rowopendata-rmw.opendata.arcgis.com/datasets/addresses,https://www.regionofwaterloo.ca/en/regional-government/open-data.aspx,Region of Waterloo Open Data Licence v.2.0,2,Contains information provided by the Regional Municipality of Waterloo under licence,2021-01-15
ON,The Corporation of the City of St Catharines,https://niagaraopendata.ca/dataset/st-catharines-address-points,https://niagaraopendata.ca/pages/open-government-license-2-0-the-corporation-of-the-city-of-st-catharines,open government licence - 2.0 the corporation of the city of st catharines,2,Contains information licensed under the Open Government Licence - The Corporation of the City of St. Catharines,2021-01-15
ON,Toronto,https://open.toronto.ca/dataset/address-points-municipal-toronto-one-address-repository/,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-licence/,Open Government Licence – Toronto,1,Contains information licensed under the Open Government Licence – Toronto,2021-01-15
ON,City of Welland,http://www.welland.ca/open/OpendataResp.asp?utitle=Civic%20Addresses,https://www.welland.ca//open/OpendataTermUse.asp,Open Government Licence – City of Welland,2,Contains information licensed under the Open Government Licence – City of Welland,2021-01-15
ON,Township of The Archipelago,https://data-wpsgn.opendata.arcgis.com/datasets/west-parry-sound-civic-addresses,http://wpsgn.ca/OpenGovernmentLicense%E2%80%93TownshipofTheArchipelago.pdf,Open Government License Township of The Archipelago,2,Contains information licensed under the Open Government License – Township of The Archipelago.,2021-01-15
ON,The Corporation of the City of Windsor,https://opendata.citywindsor.ca/opendata/details/204,http://www.citywindsor.ca/opendata/Documents/OpenDataTermsofUse.pdf,Open Government Licence – The Corporation of the City of Windsor,1,Contains information licensed under the Open Government Licence – The Corporation of the City of Windsor,2021-01-15
ON,York Region,https://insights-york.opendata.arcgis.com/datasets/address-point?geometry=-81.419%2C43.714%2C-77.510%2C44.405,https://insights-york.opendata.arcgis.com/datasets/york-region-open-data-licence,York Region Open Data Licence,1,Contains public sector information made available under The Regional Municipality of York's Open Data Licence,2021-01-15
PE,Province of Prince Edward Island,http://www.gov.pe.ca/gis/index.php3?number=77553&lang=E,https://www.princeedwardisland.ca/en/information/finance/open-government-licence-prince-edward-island,Open Government Licence - Prince Edward Island,1,Contains information licensed under the Open Government Licence – Prince Edward Island,2021-01-15
QC,Ville de Gatineau,http://gatineau.ca/donneesouvertes/fiche_metadonnees_en.aspx?id=1393013950,http://gatineau.ca/donneesouvertes/licence_en.aspx,Creative Commons,BY 4.0,Contient de l’information fournie par la ville de Gatineau et visée par CC BY.,2021-01-15
QC,Ville de Laval,https://www.donneesquebec.ca/recherche/fr/dataset/geolocalisation-des-adresses,https://creativecommons.org/licenses/by/4.0/deed.en,Creative Commons,BY 4.0,Contient de l’information fournie par la ville de Laval et visée par CC BY.,2021-01-15
QC,Ville de Longueuil,https://www.donneesquebec.ca/recherche/fr/dataset/adresses,https://creativecommons.org/licenses/by/4.0/deed.en,Creative Commons,BY 4.0,Contient de l’information fournie par la ville de Longueuil et visée par CC BY.,2021-01-15
QC,Ville de Montréal,http://donnees.ville.montreal.qc.ca/dataset/adresses-ponctuelles,https://creativecommons.org/licenses/by/4.0/deed.en,Creative Commons,BY 4.0,Contient de l’information fournie par la ville de Montréal et visée par CC BY.,2021-04-16
QC,Ville de Québec,https://www.donneesquebec.ca/recherche/fr/dataset/adresses-de-la-ville-de-quebec,https://www.donneesquebec.ca/fr/licence/#cc-by,CC By 4.0,BY 4.0,Contient de l’information fournie par la ville de Québec et visée par CC BY.,2021-01-15
QC,Ville de Repentigny,https://www.donneesquebec.ca/recherche/fr/dataset/vrep-adresses,https://creativecommons.org/licenses/by/4.0/deed.en,Creative Commons,BY 4.0,Contient de l’information fournie par la ville de Repentigny et visée par CC BY.,2021-02-24
QC,Ville de Rimouski,https://www.donneesquebec.ca/recherche/fr/dataset/adressesrimouski,https://creativecommons.org/licenses/by/4.0/deed.en,Creative Commons,BY 4.0,Contient de l’information fournie par la ville de Rimouski et visée par CC BY.,2021-01-15
